model_name,engine_type,engine_power,max_speed,cruise_speed,stall_speed,fuel_tank,all_eng_roc,out_eng_roc,takeoff_distance,landing_distance,empty_weight,length,wing_span,range,price
A 90 King Air,Piston,-0.39906424476697755,-0.7356057256873961,-0.7590329703800132,-0.6524178089097196,-0.3196971205452803,-0.7238240650425378,-0.39798259239891925,-0.8923670991648734,-0.513099471881748,-0.5482314233911834,-0.879407546492825,-0.9279175760767174,-0.5874388123649372,1265000.0
100 Darter (S.L. Industries),Piston,-0.42255054996265273,-0.8229993057514875,-0.8956877839185632,-0.5301911745938848,-0.32295296576222865,-0.6929400060949091,-0.4068707499171007,-0.8923670991648734,-0.5750247075499592,-0.6004171640768081,-1.1217767993058476,-1.7484261351356472,-0.8104354844564596,1275000.0
88 Queen Air pressurized,Piston,-0.42255054996265273,-0.8229993057514875,-0.8859267258086668,-0.5913044917518022,-0.32295296576222865,-0.6517612608314042,-0.5757457427625486,-0.9418352571334234,-0.580830198393854,-0.5947754623810648,-1.1146482918701706,-1.7484261351356472,-0.8075581080423755,1375000.0
B 80 Queen Air - specs thru 1972,Piston,-0.4270241319046861,-1.0851800459437615,-1.1299531785560775,-1.6913442005943153,-0.32388320725278535,-0.6963715682002012,-0.30376812270619563,-0.29168232383248005,-0.5982466709255384,-0.6233365772157649,-0.8437650093144393,-0.44928758329234164,-0.9154597235705314,1500000.0
80 Queen Air,Piston,-0.3822883124843524,-0.7705631577130326,-0.8468824933690811,-1.508004249120563,-0.316441275328332,-0.14732163135346837,-0.30376812270619563,-0.29168232383248005,-0.55180274417438,-0.5625119808085334,-0.8295079944430851,-0.44928758329234164,-0.3097719884058159,2000000.0
A 65 Queen Air,Piston,-0.14742526052760058,-0.8055205897386692,-1.0128204812373203,0.019828679827371742,-0.31597615458305367,-0.4904778418826764,-0.753508893126178,-1.3163798817524452,-0.14541838510174399,-0.1728819574462674,-0.252098892153237,0.5861160745677364,-0.9154597235705314,1500000.0
B 60 Duke pressurized (prior '78 t/o run=2006),Piston,-0.14742526052760058,-0.8055205897386692,-0.8956877839185632,-0.22462458880429784,-0.305278377441652,-0.559109083988518,-0.30376812270619563,-0.29168232383248005,-0.14541838510174399,-0.11999100404867473,-0.252098892153237,0.5861160745677364,-0.9154597235705314,1500000.0
60 Duke Pressurized,Propjet,-0.06354559911447494,-0.665690861636123,-0.6809445055008417,-0.22462458880429784,-0.28434794390412693,0.017393349700551484,-0.30376812270619563,-0.29168232383248005,-0.14541838510174399,-0.1376213218478723,0.06155543501655707,0.5958840336041522,-0.5270139076691699,2500000.0
100 Darter (S.L. Industries),Propjet,0.10421372371177637,-0.4909037015079403,-0.7199887379404275,-0.5301911745938848,-0.2783013742155086,-0.730687189253122,-0.30376812270619563,-0.29168232383248005,0.48350978965352603,0.2553584618962412,0.10432647963061989,-0.3320720748553517,-0.44788605628185557,800000.0
C 50 Twin Bonanza,Propjet,0.188093385124902,1.0559626656264767,1.2517450002586512,-0.2857379059622152,-0.19830060602763508,1.0365672949722993,1.6249620587391833,1.2700980920317428,0.667350333043528,0.970796758187678,1.1807311024178677,1.768039117974052,1.1663221120193579,3480000.0
