model_name,engine_type,engine_power,max_speed,cruise_speed,stall_speed,fuel_tank,all_eng_roc,out_eng_roc,takeoff_distance,landing_distance,empty_weight,length,wing_span,range,price
58 TC Baron (325) turbochg-non-pressurized,Propjet,6.745236349484363,5.683579767338681,5.631211781821365,75.0,6.298949246855942,7.803843303538772,8.11522197256233,7.953318346560431,9.433483923290392,8.92771217382708,6.263398262591624,6.483107351457199,7.586803535162581,15.068273526459642
100 Darter (S.L. Industries),Propjet,6.745236349484363,5.66988092298052,5.605802066295998,75.0,6.298949246855942,7.803843303538772,8.11522197256233,7.953318346560431,9.433483923290392,8.92771217382708,6.263398262591624,6.483107351457199,7.533693709848633,15.005790035158208
58 Baron (300 hp),Propjet,6.5722825426940075,5.579729825986222,5.552959584921617,83.0,6.152732694704104,7.5822291942764615,7.989899374942939,7.893198869544609,9.375854810453756,8.86531163267185,6.171700597410915,6.311734809152915,6.984716320118266,14.725783217512866
100 Darter (S.L. Industries),Propjet,6.522092798170152,5.5134287461649825,5.459585514144159,75.0,6.152732694704104,7.5822291942764615,8.08487062913819,7.987524479848767,9.350102314351341,8.824236617346639,6.171700597410915,6.311734809152915,6.907755278982137,14.725783217512866
A56TC Turbo Baron,Propjet,6.522092798170152,5.5134287461649825,5.476463551931511,73.0,5.924255797414532,7.696212639346407,7.455298485683291,7.6676260915849905,9.268609280100158,8.770283819098399,6.1675164908883415,6.309918278226516,6.912742820493176,14.767168433675721
100 Darter (S.L. Industries),Propjet,6.620073206530356,5.631211781821365,5.579729825986222,79.0,6.152732694704104,7.805882040228621,7.940227765145702,7.729735331385051,9.301094735244646,8.801920904041582,6.169610732491456,6.311734809152915,7.118826249062078,14.929011459126134
E 55 Baron ('70-'72 fuel=142 gal opt),Propjet,6.620073206530356,5.58724865840025,5.564520407322694,77.0,6.152732694704104,7.77485576666552,7.957177323459475,7.729735331385051,9.301094735244646,8.787067645218054,6.169610732491456,6.311734809152915,7.118826249062078,14.907500970323497
100 Darter (S.L. Industries),Propjet,6.309918278226516,5.521460917862246,5.501258210544727,77.0,6.161207321695077,7.533693709848633,7.6128310304073565,7.6544432264701125,9.22029070282935,8.698847859222488,6.054439346269371,6.401917196727186,7.162397497355718,14.831465612951375
B 55 Baron (1978 & up),Propjet,6.309918278226516,5.5093883366279774,5.480638923341991,75.0,5.950642552587727,7.667158255319148,7.72356247227797,7.421775793644647,9.22029070282935,8.65956043270316,6.054439346269371,6.401917196727186,7.02108396428914,14.914122846632385
100 Darter (S.L. Industries),Propjet,6.309918278226516,5.407171771460119,5.37989735354046,76.0,5.950642552587727,7.578145472419466,7.72356247227797,7.421775793644647,9.174713194333032,8.65956043270316,6.054439346269371,6.401917196727186,7.02108396428914,14.848695041309929
